Disease,ICD11_Biomed_codes,ICD_TM2_codes,Name English,Short_definition
Hypertension,BA00,TM2-300,Secondary Hypertension,"Hypertension due to or associated with a variety of diseases such as renal disorders, disorders of central nervous system, endocrine diseases and vascular diseases."
Myocardial Infarction,BA41,TM2-310,Myocardial Infarction (Heart Attack),A condition that occurs due to loss of supply of blood in a part of muscle of heart or due to occlusion in the coronary artery or its branches.
Myocardial Infarction,BA41,TM2-320,Extrasystole (Premature Heartbeat),A premature contraction of heart that is independent of the normal rhythm and arises in response to an impulse in some part of the heart other than sino atrial node. It is usually seen in myocardial infarction.
Myocardial Infarction,BA41,TM2-330,Angina Pectoris,"It is characterised by prolonged chest pain,  breathlessness, anxiety, palpitation."
Stroke,8B20,TM2-340,hemiplegia/hemiparesis (due only to vātadōṣa),A neurological disorder characterized by sudden weakness or paralysis on one side of the body (hemiplegia/hemiparesis) due exclusively to vata imbalance.
Stroke,8B20,TM2-350,Hemiplegia disorder (TM2),"-A neurological disorder caused by sudden interruption of blood supply to the brain, resulting in one-sided paralysis (hemiplegia) and impaired motor or sensory function."
Stroke,8B20,TM2-360,pakśāghāta due to kapha,"-A sudden neurological deficit caused by interruption of blood flow to the brain (ischemic or hemorrhagic), leading to brain cell damage."
Leprosy,1B20,TM2-370,integumentary disease,"-A chronic infectious disease caused by Mycobacterium leprae affecting the skin, peripheral nerves, and sometimes eyes. Leads to skin lesions, nerve damage, and disability if untreated."
Leprosy,1B20,TM2-380,prodromes of kuṣṭha,"-Leprosy, or Hansen’s disease, is a chronic infectious disease caused by Mycobacterium leprae. The prodromal phase refers to the early symptoms that precede the more characteristic signs of the disease."
Leprosy,1B20,TM2-390,major skin diseases,"Leprosy, or Hansen’s disease, is a chronic infectious disease caused by Mycobacterium leprae. It primarily affects the skin, peripheral nerves, upper respiratory tract, and eyes. The disease has a long incubation period, often 5–7 years, but symptoms can appear anywhere from 1 to 20 years after exposure."
Chickenpox,1E90,TM2-400,smallpox,It refers to a contagious viral disease involving fever + skin eruptions (pustules / blisters) that resemble lentil-sized lesions
Chickenpox,1E90,TM2-410,prodromes of masūrikā,"Early warning phase of chickenpox before the rash appears, lasting 1–2 days."
Chickenpox,1E90,TM2-420,masūrikā due to vāta,"A highly contagious viral infection caused by varicella-zoster virus, marked by fever and an itchy rash that progresses from red spots → fluid-filled blisters → scabs"
Hepatitis B,1E50.1,TM2-430,Hepatalgia (Liver Pain),"Pain of liver which is caused by the morbid temperament and gaseous distension of membrane covering the liver. It can also be due to acute and chronic hepatitis, traumatic injury of liver, pustules, abscess and calculi of liver."
Hepatitis B,1E50.1,TM2-440,Hepatomegaly (Liver Enlargement),"Swelling of the liver that can be found either on convexity or concavity of the liver or the liver as a whole. This swelling, according to the causative agents, is of various types: Damawī (sanguineous), Falghamūnī, Ṣafrāwī (bilious), Balghamī (phlegmatic), Ṣulb, Saratānī, Ghayr Saratānī, and Rīhī."
Hepatitis B,1E50.1,TM2-450,Hepatitis (Bilious / Saffron‑type),"Inflammation of liver due to predominance of <em>Ṣafrā’</em> (yellow bile). Its symptoms are serrate, rapid and consecutive pulse, pale face, cyanosed tongue, reddish urine, bilious vomitus and hyperpyrexia."
Epilepsy,8A60,TM2-460,Seizure disorder ,"A chronic brain disorder where sudden bursts of abnormal electrical activity cause seizures. These episodes can affect movement, sensation, awareness, or behavior."
Epilepsy,8A60,TM2-470,Epilepsy disorder ,"It is a neurological disorder characterized by recurrent, unprovoked seizures resulting from sudden, abnormal electrical discharges in the brain. The person may lose consciousness, experience abnormal movements (convulsions), sensory disturbances, or behavioral changes."
Epilepsy,8A60,TM2-480,prodromes of of apasmāra,It is a chronic neurological disorder marked by recurrent seizures and sudden loss of consciousness or awareness.
