Disease,NAMC_CODE,NAMC_term,NAMC_term_DEVANAGARI,Name English,Short_definition
Migraine,AAB-79(SK0Y),lalATaBedaH (kEvalavAta),ललाटभेदः (केवलवात),Other specified headache disorders (TM2),"A neurological disorder characterized by recurrent, pulsating headache usually on one side of the forehead, often accompanied by nausea, sensitivity to light, and aura."
Migraine,AAB-96,Siroruk (kEvalavAta),शिरोरुक् (केवलवात),headache/cephalgia/cephalalgia (due only to vātadōṣa),"A headache disorder characterized by intense, often unilateral head pain, sometimes accompanied by nausea and light sensitivity, caused exclusively by vata imbalance."
Migraine,BI-3,viShamASanaja-rAjayakShmA,वेगरोधज-राजयक्ष्मा,rājayakṣma due to withholding natural urges,"A headache or migraine-like disorder arising due to withholding natural urges, leading to vata-pitta imbalance."
Amnesia,A-14,نسيان,Amnesia,,A state of forgetfulness.
Amnesia,A-14.1,نسيان باردرطب,forgetfulness due to coldness and moistness/ Reterograde Amnesia,,A state of forgetfulness caused by the predominance of <em>Burūdat</em> (coldness) or Ruṭūbat (moistness) which is either simple or compound.
Amnesia,A-14.2,نسيان بارد يابس,forgetfulness due to coldness and dryness/Anterograde Amnesia,,A state of forgetfulness caused by the predominance of <em>Burūdat</em> (coldness) or <em>Yubūsat</em> (dryness).
Pneumonia,SL42(EA-4),SvAsaH,श्वासः,Dyspnoea disorder (TM2),"An acute respiratory infection characterized by inflammation of the lungs, cough, fever, chest pain, and difficulty breathing."
Pneumonia,EA-4.1,SvAsa-pUrvarUpam,श्वास-पूर्वरूपम्,prodromes of śvāsa,"The early or prodromal stage of pneumonia, presenting with mild cough, slight breathlessness, and fatigue before full-blown infection."
Pneumonia,EA-4.2,mahASvAsaH,महाश्वासः,mahāśvāsa,"A severe form of pneumonia characterized by intense breathlessness, wheezing, and difficulty in breathing due to extensive lung involvement. In the TM2 (Namaste) framework, it is classified as mahāśvāsa, reflecting pronounced vata-pitta imbalance leading to critical respiratory obstruction."
Hypertension,E-38,ضغط الدم قوي,Hypertension,,Condition in which there is persistent high arterial blood pressure.
Hypertension,E-38.1,ضغط الدم قوي اولى/ ضغط الدم قوي لازمي/ضغط الدم قوي ابتدائي /ضغط الدم قوي ذاتي/ضغط الدم قوي اصلي,Primary hypertension,,Hypertension occurring without discernible organic cause.
Hypertension,E-38.2,ضغط الدم قوي ثانوي,Secondary hypertension,,"Hypertension due to or associated with a variety of diseases such as renal disorders, disorders of central nervous system, endocrine diseases and vascular diseases."
Myocardial Infarction,E-15,التنخر الانسدادي لعضل القلب,Myocardial infarction,,A condition that occurs due to loss of supply of blood in a part of muscle of heart or due to occlusion in the coronary artery or its branches.
Myocardial Infarction,E-20,زائد انقباضا ت,Ectopic beats/Extra systole,,A premature contraction of heart that is independent of the normal rhythm and arises in response to an impulse in some part of the heart other than sino atrial node. It is usually seen in myocardial infarction.
Myocardial Infarction,E-15.1,متلازمہ بعد تنخّرقلب انسدادی,Post Myocardial Infarction Syndrome,,"It is characterised by prolonged chest pain,  breathlessness, anxiety, palpitation."
Stroke,AAB-52,pakShAghAtaH/pakShavadhaH (kEvalavAta),पक्षाघातः/पक्षवधः (केवलवात),hemiplegia/hemiparesis (due only to vātadōṣa),A neurological disorder characterized by sudden weakness or paralysis on one side of the body (hemiplegia/hemiparesis) due exclusively to vata imbalance.
Stroke,SK22(AAC-24),pakShAghAta/pakShavadhaH,पक्षाघात/पक्षवधः,Hemiplegia disorder (TM2),"-A neurological disorder caused by sudden interruption of blood supply to the brain, resulting in one-sided paralysis (hemiplegia) and impaired motor or sensory function."
Stroke,AAC-24.1,kaPAnvitapakShAghAtaH,कफान्वितपक्षाघातः,pakśāghāta due to kapha,"-A sudden neurological deficit caused by interruption of blood flow to the brain (ischemic or hemorrhagic), leading to brain cell damage."
Leprosy,ED-4,kuShTham,कुष्ठम्,integumentary disease,"-A chronic infectious disease caused by Mycobacterium leprae affecting the skin, peripheral nerves, and sometimes eyes. Leads to skin lesions, nerve damage, and disability if untreated."
Leprosy,ED-4.1,kuShTha-pUrvarUpam,कुष्ठ-पूर्वरूपम्,prodromes of kuṣṭha,"-Leprosy, or Hansen’s disease, is a chronic infectious disease caused by Mycobacterium leprae. The prodromal phase refers to the early symptoms that precede the more characteristic signs of the disease."
Leprosy,ED-4.2,mahAkuShThaH,महाकुष्ठः,major skin diseases,"Leprosy, or Hansen’s disease, is a chronic infectious disease caused by Mycobacterium leprae. It primarily affects the skin, peripheral nerves, upper respiratory tract, and eyes. The disease has a long incubation period, often 5–7 years, but symptoms can appear anywhere from 1 to 20 years after exposure."
Chickenpox,ED-6,masUrikA,मसूरिका,smallpox,It refers to a contagious viral disease involving fever + skin eruptions (pustules / blisters) that resemble lentil-sized lesions
Chickenpox,ED-6.1,masUrikApUrvarUpam,मसूरिकापूर्वरूपम्,prodromes of masūrikā,"Early warning phase of chickenpox before the rash appears, lasting 1–2 days."
Chickenpox,ED-6.2,vAtajamasUrikA,वातजमसूरिका,masūrikā due to vāta,"A highly contagious viral infection caused by varicella-zoster virus, marked by fever and an itchy rash that progresses from red spots → fluid-filled blisters → scabs"
Hepatitis B,F-54,وجع الكبد/ كباد,Hepatalgia,,"Pain of liver which is caused by the morbid temperament and gaseous distension of membrane covering the liver. It can also be due to acute and chronic hepatitis, traumatic injury of liver, pustules, abscess and calculi of liver."
Hepatitis B,F-56,ورم الكبد,Hepatitis,,"Swelling of the liver that can be found either on convexity or concavity of the liver or the liver as a whole. This swelling according to the causative agents is of various types: <em>Damawī</em> (sanguineous), <em>Falghamūnī</em>, <em>Ṣafrāwī</em> (bilious), <em>Balghamī</em> (phlegmatic), <em>Ṣulb</em>, <em>Saraṭānī</em>, <em>Ghayr Saraṭānī</em> and <em>Rīḥī</em>."
Hepatitis B,F-56.1,ورم الكبد صفراوي,Bilious hepatitis,,"Inflammation of liver due to predominance of <em>Ṣafrā’</em> (yellow bile). Its symptoms are serrate, rapid and consecutive pulse, pale face, cyanosed tongue, reddish urine, bilious vomitus and hyperpyrexia."
Epilepsy,SK30(AAC-11),AkShepakaH,आक्षेपकः,Seizure disorder (TM2),"A chronic brain disorder where sudden bursts of abnormal electrical activity cause seizures. These episodes can affect movement, sensation, awareness, or behavior."
Epilepsy,SK31 (EM-3),apasmAraH,अपस्मारः,Epilepsy disorder (TM2),"It is a neurological disorder characterized by recurrent, unprovoked seizures resulting from sudden, abnormal electrical discharges in the brain. The person may lose consciousness, experience abnormal movements (convulsions), sensory disturbances, or behavioral changes."
Epilepsy,EM-3.1,apasmAra-pUrvarUpam,अपस्मार-पूर्वरूपम्,prodromes of of apasmāra,It is a chronic neurological disorder marked by recurrent seizures and sudden loss of consciousness or awareness.
